trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,38.23674000008032,38.23674000008032,0.006239099893718958,[0.006481481481481481],[-0.35],[1],[0],[0],[1.7106902999803424],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
1,0,1,0,,39.935475000180304,39.935475000180304,0.0007813000120222569,[0.17962962962962964],[0.30277777777777776],[1],[0],[0],[0.9083468997851014],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
2,0,2,0,,40.85231660027057,40.85231660027057,0.0010234001092612743,"[0.19722222222222222, 0.16111111111111112]","[-0.1925925925925926, -0.21851851851851853]","[1, 1]","[0, 0]","[0, 0]","[0.9959192997775972, 1.543310099747032]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
3,0,3,0,,42.402322799898684,42.402322799898684,0.0008622999303042889,[0.0712962962962963],[-0.3425925925925926],[1],[0],[0],[0.9136860999278724],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
4,0,4,0,,43.318738400004804,43.318738400004804,0.0007306002080440521,[-0.39444444444444443],[-0.23425925925925925],[1],[0],[0],[0.9301134999841452],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
5,0,5,0,,44.252411200199276,44.252411200199276,0.000685499981045723,[-0.13703703703703704],[-0.44722222222222224],[1],[0],[0],[0.9118496999144554],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
6,0,6,0,,45.1686200001277,45.1686200001277,0.0009882999584078789,[-0.08148148148148149],[-0.03518518518518519],[1],[0],[0],[1.079119899775833],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
7,0,7,0,,46.25225100014359,46.25225100014359,0.0010195998474955559,[0.05648148148148148],[0.32037037037037036],[1],[0],[0],[0.8969360999763012],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
8,0,8,0,,47.152185200247914,47.152185200247914,0.0012122001498937607,[-0.425],[0.16574074074074074],[1],[0],[0],[0.9590704999864101],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
9,0,9,0,,48.118734300136566,48.118734300136566,0.000793099869042635,"[0.3990740740740741, 0.4064814814814815]","[0.36944444444444446, 0.375]","[1, 1]","[0, 0]","[0, 0]","[1.214223800227046, 1.7478505000472069]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
10,0,10,0,,49.8688059002161,49.8688059002161,0.0007792999967932701,[0.3314814814814815],[-0.42592592592592593],[1],[0],[0],[1.9294626000337303],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
11,0,11,0,,51.80223760008812,51.80223760008812,0.0007946002297103405,[0.009259259259259259],[-0.15925925925925927],[1],[0],[0],[1.8452616999857128],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
12,0,12,0,,53.652249600272626,53.652249600272626,0.0007166997529566288,[0.06481481481481481],[-0.4101851851851852],[1],[0],[0],[0.7965867999009788],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
